5,0.000310
6,0.000288
7,0.000274
8,0.000307
9,0.000335
10,0.000358
11,0.000376
12,0.000392
13,0.000405
14,0.000417
15,0.000427
16,0.000438
17,0.000451
18,0.000465
19,0.000481
20,0.000500
21,0.000520
22,0.000543
23,0.000567
24,0.000593
25,0.000618
26,0.000642
27,0.000664
28,0.000682
29,0.000697
30,0.000709
31,0.000718
32,0.000724
33,0.000729
34,0.000735
35,0.000747
36,0.000770
37,0.000807
38,0.000862
39,0.000937
40,0.001034
41,0.001155
42,0.001301
43,0.001473
44,0.001669
45,0.001887
46,0.002124
47,0.002377
48,0.002643
49,0.002922
50,0.003213
51,0.003516
52,0.003829
53,0.004153
54,0.004487
55,0.004833
56,0.005190
57,0.005560
58,0.005947
59,0.006365
60,0.006834
61,0.007372
62,0.007997
63,0.008728
64,0.009579
65,0.010564
66,0.011696
67,0.012989
68,0.014456
69,0.016096
70,0.017913
71,0.019903
72,0.022068
73,0.024414
74,0.026967
75,0.029761
76,0.032829
77,0.036205
78,0.039919
79,0.043993
80,0.048449
81,0.053305
82,0.058582
83,0.064299
84,0.070462
85,0.077080
86,0.084158
87,0.091701
88,0.099715
89,0.108196
90,0.117140
91,0.126540
92,0.136392
93,0.146691
94,0.157432
95,0.168615
96,0.180232
97,0.192282
98,0.205218
99,0.219494
100,0.235563
101,0.253878
102,0.274893
103,0.299061
104,0.326834
105,0.358668
106,0.395014
107,0.436326
108,0.483057
109,0.535662
110,0.594592
111,0.660302
112,0.733244
113,0.813872
114,0.902640
115,1.000000
